Indice,Consolidacao,DivisaDeReferencia,Fonte,FluxosPosicaoePrecos,InstrumentoFinanceiro,MetodoDeValorizacao,Metrica,Otica,Periodicidade,PrazoResidual,PrazoOriginal,SetorInstitucionalDeContraparte,SetorInstitucionalDeReferencia,TerritorioDeContraparte,TerritorioDeReferencia,TipoDeInformacao,UnidadeDeMedida,Data,value
0,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,1995-12-31,62.2
1,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,1996-12-31,63.3
2,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,1997-12-31,58.7
3,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,1998-12-31,55.6
4,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,1999-12-31,55.4
5,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2000-03-31,56.4
6,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2000-06-30,55.2
7,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2000-09-30,55.0
8,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2000-12-31,54.2
9,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2001-03-31,54.0
10,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2001-06-30,55.2
11,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2001-09-30,56.1
12,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2001-12-31,57.4
13,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2002-03-31,56.4
14,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2002-06-30,57.0
15,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2002-09-30,58.4
16,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2002-12-31,60.0
17,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2003-03-31,62.4
18,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2003-06-30,61.3
19,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2003-09-30,62.9
20,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2003-12-31,63.9
21,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-03-31,63.8
22,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-06-30,65.2
23,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-09-30,65.6
24,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2004-12-31,67.1
25,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-03-31,67.5
26,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-06-30,68.2
27,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-09-30,71.1
28,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2005-12-31,72.2
29,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-03-31,72.0
30,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-06-30,73.8
31,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-09-30,73.3
32,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2006-12-31,73.7
33,Dados consolidados,Todas as divisas,Banco de Portugal,Posições,Dívida,Valor Nominal,% do PIB,Ótica de Maastricht,Trimestral,Todos(as),Todos(as),Todos os setores,Administrações públicas,Todos os Países,Portugal,Passivos,Percentagem,2007-03-31,71.7
